clx,pred_sr,prob
1-A,itka,0.0008
1-A,itkika,0.0008
1-A,tkka,0.0008
1-A,cikika,0.0008
1-A,ktka,0.0008
1-A,akka,0.0006666666666666666
1-A,ikcika,0.0006666666666666666
1-A,ikikta,0.0006666666666666666
1-A,cika,0.0005333333333333334
1-A,ikica,0.0005333333333333334
1-A,kita,0.0004
1-A,kia,0.0004
1-A,kaka,0.0004
1-A,ikikka,0.0004
1-A,ikkika,0.0004
1-A,tka,0.0004
1-A,kikika,0.0004
1-A,ia,0.0002666666666666667
1-A,kkia,0.0002666666666666667
1-A,ikk,0.0002666666666666667
1-A,icita,0.0002666666666666667
1-A,iita,0.0002666666666666667
1-A,kkka,0.0002666666666666667
1-A,ittka,0.0002666666666666667
1-A,ikikt,0.00013333333333333334
1-A,tkikk,0.00013333333333333334
1-A,aikka,0.00013333333333333334
1-A,kikka,0.00013333333333333334
1-A,kkkka,0.00013333333333333334
1-A,tcika,0.00013333333333333334
1-A,acika,0.00013333333333333334
1-A,cikka,0.00013333333333333334
1-A,cikkka,0.00013333333333333334
1-A,iki,0.00013333333333333334
1-A,ikata,0.00013333333333333334
1-A,aika,0.00013333333333333334
1-A,ttka,0.00013333333333333334
1-A,a,0.00013333333333333334
1-A,ikikat,0.00013333333333333334
1-A,kik,0.00013333333333333334
1-A,ikcka,0.00013333333333333334
1-A,icikta,0.00013333333333333334
1-A,ikikk,0.00013333333333333334
1-A,kcika,0.00013333333333333334
1-A,itkka,0.00013333333333333334
1-A,tkia,0.00013333333333333334
1-A,aka,0.00013333333333333334
1-A,ikiki,0.00013333333333333334
1-A,ita,0.00013333333333333334
1-A,itta,0.00013333333333333334
1-A,kkita,0.00013333333333333334
1-B,ikiki,0.7566666666666667
1-B,iki,0.0512
1-B,kiki,0.048
1-B,ikki,0.04533333333333334
1-B,ikii,0.011466666666666667
1-B,ikici,0.010533333333333334
1-B,iciki,0.009866666666666666
1-B,iktki,0.008666666666666666
1-B,tkiki,0.007333333333333333
1-B,kkiki,0.0064
1-B,iiki,0.006266666666666667
1-B,akiki,0.005733333333333333
1-B,ikaki,0.005333333333333333
1-B,ikkki,0.0037333333333333333
1-B,ki,0.0033333333333333335
1-B,kki,0.0030666666666666668
1-B,itkiki,0.0010666666666666667
1-B,ikitki,0.0010666666666666667
1-B,ckiki,0.0009333333333333333
1-B,ikci,0.0009333333333333333
1-B,itki,0.0008
1-B,tkki,0.0008
1-B,cikiki,0.0008
1-B,ktki,0.0008
1-B,akki,0.0006666666666666666
1-B,ikciki,0.0006666666666666666
1-B,ikikci,0.0005333333333333334
1-B,kii,0.0004
1-B,kaki,0.0004
1-B,ikkiki,0.0004
1-B,ciki,0.0004
1-B,ii,0.0002666666666666667
1-B,kkii,0.0002666666666666667
1-B,kici,0.0002666666666666667
1-B,ikikki,0.0002666666666666667
1-B,icici,0.0002666666666666667
1-B,tki,0.0002666666666666667
1-B,iici,0.0002666666666666667
1-B,aiki,0.0002666666666666667
1-B,kikci,0.0002666666666666667
1-B,kkki,0.0002666666666666667
1-B,kikiki,0.0002666666666666667
1-B,ittki,0.0002666666666666667
1-B,tkkiki,0.00013333333333333334
1-B,ikikt,0.00013333333333333334
1-B,aikki,0.00013333333333333334
1-B,kikki,0.00013333333333333334
1-B,kkkki,0.00013333333333333334
1-B,tciki,0.00013333333333333334
1-B,aciki,0.00013333333333333334
1-B,cikki,0.00013333333333333334
1-B,cikkki,0.00013333333333333334
1-B,ikaci,0.00013333333333333334
1-B,ttki,0.00013333333333333334
1-B,ikika,0.00013333333333333334
1-B,i,0.00013333333333333334
1-B,ikcki,0.00013333333333333334
1-B,ackiki,0.00013333333333333334
1-B,icikci,0.00013333333333333334
1-B,kciki,0.00013333333333333334
