clx,pred_sr,prob
5,dtkdk,0.0004
5,kdgt,0.0004
5,kdadk,0.0004
5,kgaak,0.0004
5,adtgk,0.0004
5,aaagt,0.0004
5,atkaa,0.0004
5,tgakt,0.0004
5,kdkga,0.0004
5,agktt,0.0004
5,adadt,0.0004
5,ddgak,0.0004
5,atdkt,0.0004
5,tdkdk,0.0004
5,adka,0.0004
5,atdak,0.0004
5,tgtak,0.0004
5,tdkgg,0.0004
5,tagat,0.0004
5,akgtk,0.0004
5,ktggt,0.0004
5,tdkk,0.0004
5,kad,0.0004
5,ktkdt,0.0004
5,gadak,0.0004
5,gdaat,0.0004
5,ttadt,0.0004
5,kggt,0.0004
5,akkt,0.0004
5,gkdkt,0.0004
5,kgatd,0.0004
5,kadta,0.0004
5,gkgka,0.0004
5,gdkdt,0.0004
5,aaad,0.0004
5,ddata,0.0004
5,ktakk,0.0004
5,gagak,0.0004
5,kaagk,0.0004
5,aadaa,0.0004
5,gdakk,0.0004
5,ddtat,0.0004
5,gtdga,0.0004
5,ggktk,0.0004
5,dddka,0.0004
5,gggdt,0.0004
5,tggkk,0.0004
5,gdtga,0.0004
5,ktgaa,0.0004
5,adddk,0.0004
5,taggk,0.0004
5,gkaa,0.0004
5,dgtt,0.0004
5,gttkk,0.0004
5,ggaga,0.0004
5,kkka,0.0004
5,tatka,0.0004
5,tkgd,0.0004
5,kddk,0.0004
5,gataa,0.0004
5,gdtta,0.0004
5,taadk,0.0004
5,ttkdk,0.0004
5,ggttg,0.0004
5,dkta,0.0004
5,tagtt,0.0004
5,dtag,0.0004
5,gdktk,0.0004
5,tagak,0.0004
5,gdkda,0.0004
5,akddt,0.0004
5,gdaga,0.0004
5,akkgt,0.0004
5,dadt,0.0004
5,ggtk,0.0004
5,aata,0.0004
5,akaa,0.0004
5,kdggk,0.0004
5,kaaat,0.0004
5,dtdtk,0.0004
5,kdddt,0.0004
5,kagt,0.0004
5,kkdtk,0.0004
5,dkgat,0.0004
5,dtdtt,0.0004
5,adadk,0.0004
5,tttgk,0.0004
5,ktgt,0.0004
5,gaata,0.0004
5,adtka,0.0004
5,akata,0.0004
5,tkkdt,0.0004
5,gtgat,0.0004
5,gkka,0.0004
5,atgaa,0.0004
5,gkdga,0.0004
5,dgtg,0.0004
